Sample	Gender	Pop
HG03107	female	AFR
HG03709	female	SAS
HG04142	female	SAS
HG03114	female	AFR
HG03711	male	SAS
HG04147	female	SAS
HG03133	male	AFR
HG03716	male	SAS
HG04058	male	SAS
HG03140	female	AFR
HG03646	male	SAS
HG04060	male	SAS
HG03157	male	AFR
HG03653	female	SAS
HG04096	male	SAS
HG03063	male	AFR
HG03660	male	SAS
HG04039	male	SAS
HG03082	female	AFR
HG03583	female	AFR
HG04053	male	SAS
HG03234	male	SAS
HG03590	male	SAS
HG03973	female	SAS
HG03239	female	SAS
HG03595	female	SAS
HG04128	male	SAS
HG03241	female	AFR
HG03689	female	SAS
NA06985	female	EUR
HG03246	male	AFR
HG03691	male	SAS
NA06997	female	EUR
HG03258	male	AFR
HG03696	male	SAS
NA07022	male	EUR
HG03260	male	AFR
HG03634	female	SAS
NA07034	male	EUR
HG03265	male	AFR
HG03639	male	SAS
NA12045	male	EUR
HG03342	female	AFR
HG03641	male	SAS
NA12057	female	EUR
HG03354	female	AFR
HG03672	male	SAS
NA12146	male	EUR
HG03361	male	AFR
HG03684	female	SAS
NA10859	female	EUR
HG03366	female	AFR
HG03603	male	SAS
NA10861	female	EUR
HG03373	male	AFR
HG03615	male	SAS
NA11840	female	EUR
HG03378	female	AFR
HG03742	male	SAS
NA10842	male	EUR
HG03380	female	AFR
HG03754	female	SAS
NA10847	female	EUR
HG03304	male	AFR
HG03723	female	SAS
NA10854	female	EUR
HG03309	female	AFR
HG03730	female	SAS
HG04217	female	SAS
HG03311	male	AFR
HG03824	male	SAS
HG04229	male	SAS
HG03272	female	AFR
HG03829	female	SAS
HG04301	female	EUR
HG03291	female	AFR
HG03831	female	SAS
HG04197	female	SAS
HG03296	male	AFR
HG03836	female	SAS
HG04200	female	SAS
HG03431	female	AFR
HG03792	male	SAS
HG04212	female	SAS
HG03436	male	AFR
HG03797	male	SAS
NA07349	male	EUR
HG03450	female	AFR
HG03800	male	SAS
NA10830	male	EUR
HG03455	female	AFR
HG03879	male	SAS
NA10835	male	EUR
HG03462	male	AFR
HG03886	female	SAS
HG04180	female	SAS
HG03385	male	AFR
